year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,original_description,package_size,total_sales,quarter,operational_activity
2020,1,UNKNOWN,120,WHISKEY BARREL,STR_SUPPLIES,4.0,0.0,0.0,WHISKEY BARREL,UNKNOWN,4.0,1,LOW
2020,1,ATLAS BREW WORKS LLC,12101,ATLAS PONZI EG,KEGS,0.0,0.0,1.0,ATLAS PONZI 1/6 KEG,1/6K,1.0,1,LOW
2020,1,BUCK DISTRIBUTING COMPANY INC,12121,STONE PALE RIPPER,KEGS,0.0,0.0,1.0,STONE PALE RIPPER - 1/2K,1/2K,1.0,1,LOW
2020,1,VICTORY BREWING COMPANY LLC,12194,VICTORY SOUR MONKEY EG,KEGS,0.0,0.0,4.0,VICTORY SOUR MONKEY 1/2 KEG,1/2K,4.0,1,LOW
2020,1,Default,122,WHISKEY ROCKS T SHIRT,STR_SUPPLIES,38.0,0.0,0.0,WHISKEY ROCKS T SHIRT,UNKNOWN,38.0,1,MEDIUM
2020,1,UNKNOWN,123,HOLIDAY TOTE FOIL BAG,STR_SUPPLIES,3.89,0.0,0.0,HOLIDAY TOTE FOIL BAG,UNKNOWN,3.89,1,LOW
2020,1,LEGENDS LTD,12631,ACE PINEAPPLE CIDER,KEGS,0.0,0.0,2.0,ACE PINEAPPLE CIDER - 1/6K,1/6K,2.0,1,LOW
2020,1,LEGENDS LTD,12730,ACE PINEAPPLE EG,KEGS,0.0,0.0,1.0,ACE PINEAPPLE 1/2 KEG,1/2K,1.0,1,LOW
2020,1,UNKNOWN,1279,EMPTY WINE KEG - KEGS,DUNNAGE,0.0,0.0,-12.0,EMPTY WINE KEG - KEGS,UNKNOWN,-12.0,1,MEDIUM
2020,1,Default,140,WINE AERATOR - IN BOTTLE,STR_SUPPLIES,0.4,0.0,0.0,WINE AERATOR-IN BOTTLE,UNKNOWN,0.4,1,LOW
2020,1,PREMIUM DISTRIBUTORS INC,175,EMPTY EG (30.00),DUNNAGE,0.0,0.0,-3999.0,EMPTY 1/2 KEG (30.00),1/2K,-3999.0,1,HIGH
2020,1,Default,199,WINE STOPPER - POURER - 2 - PACK,STR_SUPPLIES,5.94,4.0,0.0,WINE STOPPER-POURER - 2-PACK,UNKNOWN,9.940000000000001,1,LOW
2020,1,ANHEUSER BUSCH INC,20086,GOLDEN ROAD WOLF PUP,KEGS,0.0,0.0,2.0,GOLDEN ROAD WOLF PUP 1/6K,1/6K,2.0,1,LOW
2020,1,ANHEUSER BUSCH INC,20093,10 BARREL JOE IPA,KEGS,0.0,0.0,4.0,10 BARREL JOE IPA 1/6K,1/6K,4.0,1,LOW
2020,1,ANHEUSER BUSCH INC,205,EMPTY EG (30.00),DUNNAGE,0.0,0.0,-934.0,EMPTY 1/6 KEG (30.00),1/6K,-934.0,1,HIGH
2020,1,ALLAGASH BREWING COMPANY,2194,ALLAGASH WHITE,KEGS,0.0,0.0,62.0,ALLAGASH WHITE 1/2K,1/2K,62.0,1,MEDIUM
2020,1,DOPS INC,2216,CHIMAY TRIPLE,KEGS,0.0,0.0,4.0,CHIMAY TRIPLE 1/6K,1/6K,4.0,1,LOW
2020,1,DELMAR BREWING COMPANY LLC,22571,EVOLUTION LUCKY 7 PORTER,KEGS,0.0,0.0,1.0,EVOLUTION LUCKY 7 PORTER 1/2K,1/2K,1.0,1,LOW
2020,1,DELMAR BREWING COMPANY LLC,22575,EVOLUTION PRIMAL PALE ALE,KEGS,0.0,0.0,1.0,EVOLUTION PRIMAL PALE ALE 1/2K,1/2K,1.0,1,LOW
2020,1,BOSTON BEER CORPORATION,2259,DOGFISH HEAD 60 MIN IPA,KEGS,0.0,0.0,22.0,DOGFISH HEAD 60 MIN IPA 1/6K,1/6K,22.0,1,MEDIUM
2020,1,FLYING DOG BREWERY LLLP,22988,FLYING DOG NUMERO UNO,KEGS,0.0,0.0,5.0,FLYING DOG NUMERO UNO  1/6K,1/6K,5.0,1,LOW
2020,1,ANHEUSER BUSCH INC,22996,KONA LONGBOARD,KEGS,0.0,0.0,4.0,KONA LONGBOARD 1/2K,1/2K,4.0,1,LOW
2020,1,FLYING DOG BREWERY LLLP,23054,FLYING DOG GONZO IMP. PRTR,KEGS,0.0,0.0,4.0,FLYING DOG GONZO IMP. PRTR 1/6K,1/6K,4.0,1,LOW
2020,1,BOSTON BEER CORPORATION,23079,DOGFISH HEAD PALO SANTO,KEGS,0.0,0.0,13.0,DOGFISH HEAD PALO SANTO 1/6K,1/6K,13.0,1,MEDIUM
2020,1,VICTORY BREWING COMPANY LLC,23092,VICTORY PRIMA PILS EG,KEGS,0.0,0.0,4.0,VICTORY PRIMA PILS 1/2 KEG,1/2K,4.0,1,LOW
2020,1,ANHEUSER BUSCH INC,23133,BUD,KEGS,0.0,0.0,48.0,BUD 1/6K,1/6K,48.0,1,MEDIUM
2020,1,MILLER BREWING COMPANY,23143,PERONI,KEGS,0.0,0.0,27.0,PERONI 1/2K,1/2K,27.0,1,MEDIUM
2020,1,FLYING DOG BREWERY LLLP,23258,FLYING DOG SNAKE DOG,KEGS,0.0,0.0,29.0,FLYING DOG SNAKE DOG 1/2K,1/2K,29.0,1,MEDIUM
2020,1,ANHEUSER BUSCH INC,23364,LANDSHARK LAGER,KEGS,0.0,0.0,4.0,LANDSHARK LAGER 1/6K,1/6K,4.0,1,LOW
2020,1,LEGENDS LTD,23514,OSKAR BLUES DALES PALE ALE,KEGS,0.0,0.0,1.0,OSKAR BLUES DALES PALE ALE 1/2K,1/2K,1.0,1,LOW
2020,1,FLYING DOG BREWERY LLLP,23528,FLYING DOG RAGING BITCH BELGIAN IPA,KEGS,0.0,0.0,32.0,FLYING DOG RAGING BITCH BELGIAN IPA 1/6,1/6,32.0,1,MEDIUM
2020,1,LEGENDS LTD,23669,DACHOUFFE LA CHOFFE,KEGS,0.0,0.0,2.0,DACHOUFFE LA CHOFFE 20L 1/6K,20L,2.0,1,LOW
2020,1,LEGENDS LTD,23675,OSKAR BLUES MAMAS YELLOW PILSNER,KEGS,0.0,0.0,1.0,OSKAR BLUES MAMAS YELLOW PILSNER 1/6K,1/6K,1.0,1,LOW
2020,1,TROEGS BREWING COMPANY,23712,TROEGS NUGGET NECTAR EG,KEGS,0.0,0.0,3.0,TROEGS NUGGET NECTAR 1/6 KEG,1/6K,3.0,1,LOW
2020,1,CROWN IMPORTS,23729,MODELO ESPECIAL,KEGS,0.0,0.0,78.0,MODELO ESPECIAL 1/4K,1/4K,78.0,1,MEDIUM
2020,1,CROWN IMPORTS,23739,NEGRA MODELO,KEGS,0.0,0.0,37.0,NEGRA MODELO 1/4K,1/4K,37.0,1,MEDIUM
2020,1,ANHEUSER BUSCH INC,23786,HOEGAARDEN,KEGS,0.0,0.0,8.0,HOEGAARDEN 1/2K,1/2K,8.0,1,LOW
2020,1,DIAGEO NORTH AMERICA INC,23830,KILKENNY CREAM ALE,KEGS,0.0,0.0,4.0,KILKENNY CREAM ALE 1/2K,1/2K,4.0,1,LOW
2020,1,FLYING DOG BREWERY LLLP,23866,FLYING DOG PALE ALE,KEGS,0.0,0.0,7.0,FLYING DOG PALE ALE 1/6K,1/6K,7.0,1,LOW
2020,1,FLYING DOG BREWERY LLLP,23923,FLYING DOG KUJO COFFEE STOUT,KEGS,0.0,0.0,4.0,FLYING DOG KUJO COFFEE STOUT 1/2K,1/2K,4.0,1,LOW
2020,1,PABST BREWING CO,23932,NATIONAL BOHEMIAN,KEGS,0.0,0.0,19.0,NATIONAL BOHEMIAN 1/2K,1/2K,19.0,1,MEDIUM
2020,1,ANHEUSER BUSCH INC,24012,GOOSE ISLAND IPA,KEGS,0.0,0.0,49.0,GOOSE ISLAND IPA 1/2K,1/2K,49.0,1,MEDIUM
2020,1,FLYING DOG BREWERY LLLP,24020,FLYING DOG RAGING BITCH BELGIAN IPA EG,KEGS,0.0,0.0,13.0,FLYING DOG RAGING BITCH BELGIAN IPA 1/2 KEG,1/2K,13.0,1,MEDIUM
2020,1,LEGENDS LTD,24038,LAGUNITAS IPA,KEGS,0.0,0.0,79.0,LAGUNITAS IPA 1/2K,1/2K,79.0,1,MEDIUM
2020,1,LEGENDS LTD,240691,FLYING EMBERS HARD KOMBUCHA PINEAPPLE CHILI EG,KEGS,0.0,0.0,1.0,FLYING EMBERS HARD KOMBUCHA PINEAPPLE CHILI 1/6 KEG,1/6K,1.0,1,LOW
2020,1,LEGENDS LTD,24150,OSKAR BLUES MAMAS YELLA PILS,KEGS,0.0,0.0,3.0,OSKAR BLUES MAMAS YELLA PILS 1/2K,1/2K,3.0,1,LOW
2020,1,LEGENDS LTD,24234,LAGUNITAS SUMPIN SUMPIN,KEGS,0.0,0.0,6.0,LAGUNITAS SUMPIN SUMPIN 1/2K,1/2K,6.0,1,LOW
2020,1,TROEGS BREWING COMPANY,24362,TROEGS DREAMWEAVER,KEGS,0.0,0.0,1.0,TROEGS DREAMWEAVER 1/2K,1/2K,1.0,1,LOW
2020,1,LEGENDS LTD,24394,FLYING FISH GRAND CRU WINTER,KEGS,0.0,0.0,1.0,FLYING FISH GRAND CRU WINTER 1/2K,1/2K,1.0,1,LOW
2020,1,MHW LTD,24553,PALM,KEGS,0.0,0.0,5.0,PALM 50L 1/2K,50L,5.0,1,LOW
2020,1,DELMAR BREWING COMPANY LLC,24596,EVOLUTION LUCKY 7 PORTER,KEGS,0.0,0.0,1.0,EVOLUTION LUCKY 7 PORTER 1/6K,1/6K,1.0,1,LOW
2020,1,DELMAR BREWING COMPANY LLC,24691,EVOLUTION LOT #3 IPA EG,KEGS,0.0,0.0,5.0,EVOLUTION LOT #3 IPA 1/6 KEG,1/6K,5.0,1,LOW
2020,1,LEGENDS LTD,24743,FIRESTONE UNION JACK KEG,KEGS,0.0,0.0,3.0,FIRESTONE UNION JACK 50L KEG,50L,3.0,1,LOW
2020,1,LEGENDS LTD,24999,LAGUNITAS LUCKY 13,KEGS,0.0,0.0,2.0,LAGUNITAS LUCKY 13 1/2K,1/2K,2.0,1,LOW
