year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,original_description,bottle_size,bottle_category,total_sales,quarter,sales_activity
2020,3,LCF WINE COMPANY LLC,336756,IVORY & BURT ZIN,WINE,0.0,0.0,2.0,IVORY & BURT ZIN - 750ML,750ML,STANDARD,2.0,1,LOW
2020,3,QUINTESSENTIAL LLC,336768,PASCUAL TOSO BARRANCAS TOSO RED BLEND,WINE,0.57,0.0,0.0,PASCUAL TOSO BARRANCAS TOSO RED BLEND 750ML,750ML,STANDARD,0.57,1,LOW
2020,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",336778,CATENA CAB/FR SAN CARLOS,WINE,0.0,0.0,3.0,CATENA CAB/FR SAN CARLOS - 750ML,750ML,STANDARD,3.0,1,LOW
2020,3,OPICI FAMILY DISTRIBUTING OF MD,336784,OPICI CHN STRAW,WINE,0.0,0.0,1.0,OPICI CHN STRAW - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,BACCHUS IMPORTERS LTD,336823,CANTINA SANTADI VERM SOLAIS,WINE,0.0,0.0,1.0,CANTINA SANTADI VERM SOLAIS - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,TRI-VIN IMPORTS,336827,ST MICHAEL GMBH RIESLING,WINE,0.0,0.0,3.0,ST MICHAEL GMBH RIESLING - 750ML,750ML,STANDARD,3.0,1,LOW
2020,3,DUGGANS DISTILLERS PROD,336855,KVINT KOSHER BRANDY,LIQUOR,0.66,0.0,0.0,KVINT KOSHER BRANDY - 750ML,750ML,STANDARD,0.66,1,LOW
2020,3,MHW LTD,336861,LA FORTUNA ROSSO DI MONTALCINO,WINE,0.0,0.0,2.0,LA FORTUNA ROSSO DI MONTALCINO - 750ML,750ML,STANDARD,2.0,1,LOW
2020,3,DEUTSCH FAMILY WINE & SPIRITS,336865,JOSH CELLARS LEGACY,WINE,24.76,32.83,10.0,JOSH CELLARS LEGACY - 750ML,750ML,STANDARD,67.59,1,LOW
2020,3,PWSWN INC,336876,BRANIZZI P/NERO,WINE,0.83,1.0,7.0,BRANIZZI P/NERO - 750ML,750ML,STANDARD,8.83,1,LOW
2020,3,PWSWN INC,336878,BRANIZZI P/GRIG,WINE,2.67,3.0,10.0,BRANIZZI P/GRIG - 750ML,750ML,STANDARD,15.67,1,LOW
2020,3,RELIABLE CHURCHILL LLLP,336883,CROP ORG VODKA MEYER LEMON,LIQUOR,0.85,0.0,0.0,CROP ORG VODKA MEYER LEMON - 750ML,750ML,STANDARD,0.85,1,LOW
2020,3,CABERNET CORPORATION,336889,LA PLAYA RED BLEND,WINE,0.0,0.0,1.0,LA PLAYA RED BLEND - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,E & J GALLO WINERY,336914,LIBERTY CREEK CHARD,WINE,0.0,0.0,49.0,LIBERTY CREEK CHARD  - 500ML,500ML,MEDIUM,49.0,1,LOW
2020,3,E & J GALLO WINERY,336916,LIBERTY CREEK MERLOT,WINE,1.29,2.0,20.0,LIBERTY CREEK MERLOT - 500ML,500ML,MEDIUM,23.29,1,LOW
2020,3,E & J GALLO WINERY,336918,LIBERTY CREEK MOSCATO,WINE,0.0,0.0,8.0,LIBERTY CREEK MOSCATO - 500ML,500ML,MEDIUM,8.0,1,LOW
2020,3,E & J GALLO WINERY,336921,LIBERTY CREEK P/GRIG,WINE,0.0,0.0,42.0,LIBERTY CREEK P/GRIG - 500ML,500ML,MEDIUM,42.0,1,LOW
2020,3,PROXIMO SPIRITS INC,33693,GRAN CENTENARIO TEQUILA PLATA,LIQUOR,0.88,0.0,0.0,GRAN CENTENARIO TEQUILA PLATA - 750ML,750ML,STANDARD,0.88,1,LOW
2020,3,OPICI FAMILY DISTRIBUTING OF MD,336942,LALUCA PROSECCO,WINE,0.0,0.0,3.0,LALUCA PROSECCO - 187ML,187ML,SMALL,3.0,1,LOW
2020,3,OPICI FAMILY DISTRIBUTING OF MD,336956,CARPINETO VINO NOBILE DI MONTEPUL,WINE,1.16,1.0,0.0,CARPINETO VINO NOBILE DI MONTEPUL - 750ML,750ML,STANDARD,2.16,1,LOW
2020,3,DOPS INC,336998,MOMMYS TIME OUT,WINE,0.0,0.0,1.0,MOMMYS TIME OUT - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,PUNTO VINO LLC,337005,ALCESTI NERO D'AVOLA,WINE,0.0,0.0,1.0,ALCESTI NERO D'AVOLA - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,PUNTO VINO LLC,337013,ISOLA BIANCO ALCESTI,WINE,0.0,0.0,11.0,ISOLA BIANCO ALCESTI - 750ML,750ML,STANDARD,11.0,1,LOW
2020,3,PUNTO VINO LLC,337021,ALCESTI L'ISOLA DEI PROFUMI ROSSO,WINE,0.0,0.0,6.0,ALCESTI L'ISOLA DEI PROFUMI ROSSO - 750ML,750ML,STANDARD,6.0,1,LOW
2020,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",337031,TORTOISE CREEK P/NOIR MISSION GROVE,WINE,1.15,1.5,45.0,TORTOISE CREEK P/NOIR MISSION GROVE - 750ML,750ML,STANDARD,47.65,1,LOW
2020,3,PWSWN INC,337049,SIMONETTI P/GRIG,WINE,0.0,0.0,15.0,SIMONETTI P/GRIG - 750ML,750ML,STANDARD,15.0,1,LOW
2020,3,PWSWN INC,337051,AREO MALB,WINE,0.57,0.0,9.0,AREO MALB - 750ML,750ML,STANDARD,9.57,1,LOW
2020,3,RED INK IMPORTS,337067,NOVA TERRA P/NOIR,WINE,0.41,0.0,1.0,NOVA TERRA P/NOIR - 750ML,750ML,STANDARD,1.41,1,LOW
2020,3,SOUTHERN GLAZERS WINE AND SPIRITS,337081,BAROSSA VALLEY ESTATE SHZ,WINE,1.3,2.0,4.0,BAROSSA VALLEY ESTATE SHZ - 750ML,750ML,STANDARD,7.3,1,LOW
2020,3,SOUTHERN GLAZERS WINE AND SPIRITS,337083,BAROSSA VALLEY ESTATE GSM,WINE,9.89,11.0,10.0,BAROSSA VALLEY ESTATE GSM - 750ML,750ML,STANDARD,30.89,1,LOW
2020,3,REPUBLIC NATIONAL DISTRIBUTING CO,337085,SUTTER HOME PINOT NOIR,WINE,1.3,1.0,4.0,SUTTER HOME PINOT NOIR - 187ML,187ML,SMALL,6.3,1,LOW
2020,3,REPUBLIC NATIONAL DISTRIBUTING CO,337087,SUTTER HOME SANGRIA,WINE,2.66,3.0,10.0,SUTTER HOME SANGRIA - 187ML,187ML,SMALL,15.66,1,LOW
2020,3,PWSWN INC,337099,BULGARIANA P/NOIR,WINE,0.0,0.0,2.0,BULGARIANA P/NOIR - 750ML,750ML,STANDARD,2.0,1,LOW
2020,3,SUTTER HOME WINERY INC,337107,SUTTER HOME SWEET RED,WINE,8.24,8.0,33.0,SUTTER HOME SWEET RED - 187ML,187ML,SMALL,49.24,1,LOW
2020,3,PWSWN INC,337109,LISABELLA NERO D'AVOLA,WINE,0.0,0.0,1.0,LISABELLA NERO D'AVOLA - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,CONSTANTINE WINES INC,337117,CASAL GARCIA SANGRIA,WINE,0.48,0.0,0.0,CASAL GARCIA SANGRIA - 750ML,750ML,STANDARD,0.48,1,LOW
2020,3,OPICI FAMILY DISTRIBUTING OF MD,337125,BISON RIDGE CAB,WINE,0.0,0.0,2.0,BISON RIDGE CAB - 750ML,750ML,STANDARD,2.0,1,LOW
2020,3,OPICI FAMILY DISTRIBUTING OF MD,337127,BISON RIDGE CHARD,WINE,0.0,0.0,2.0,BISON RIDGE CHARD - 750ML,750ML,STANDARD,2.0,1,LOW
2020,3,OPICI FAMILY DISTRIBUTING OF MD,337139,ALVERDI P/GRIG,WINE,0.0,0.0,2.0,ALVERDI P/GRIG - 1.5L,1.5L,LARGE,2.0,1,LOW
2020,3,RELIABLE CHURCHILL LLLP,337145,TOMATIN 12YR S/M SCOTCH,LIQUOR,0.51,0.0,0.0,TOMATIN 12YR S/M SCOTCH - 750ML,750ML,STANDARD,0.51,1,LOW
2020,3,PUNTO VINO LLC,337181,LUCA MONTEPUL MAGNUM,WINE,0.0,0.0,4.0,LUCA MONTEPUL MAGNUM - 1.5L,1.5L,LARGE,4.0,1,LOW
2020,3,REPUBLIC NATIONAL DISTRIBUTING CO,337189,SUTTER HOME SANGRIA,WINE,0.65,1.0,2.0,SUTTER HOME SANGRIA - 750ML,750ML,STANDARD,3.65,1,LOW
2020,3,REPUBLIC NATIONAL DISTRIBUTING CO,337193,K VINTNERS S/BLC,WINE,0.08,0.0,0.0,K VINTNERS S/BLC - 750ML,750ML,STANDARD,0.08,1,LOW
2020,3,SOUTHERN GLAZERS WINE AND SPIRITS,337215,FINCA FLICHMAN MALB,WINE,3.14,3.0,12.0,FINCA FLICHMAN MALB - 750ML,750ML,STANDARD,18.14,1,LOW
2020,3,COPPER CANE LLC,337217,BELLE GLOSS LAS ALTURAS P/NOIR,WINE,1.8,0.0,0.0,BELLE GLOSS LAS ALTURAS P/NOIR - 750ML,750ML,STANDARD,1.8,1,LOW
2020,3,COPPER CANE LLC,337219,BELLE GLOS CLARK & TELEPHONE P/NOIR,WINE,0.97,0.0,1.0,BELLE GLOS CLARK & TELEPHONE P/NOIR- 750ML,750ML,STANDARD,1.97,1,LOW
2020,3,MONSIEUR TOUTON SELECTION,337273,VICTOR ITALIAN KOS CHARD,WINE,0.0,0.0,1.0,VICTOR ITALIAN KOS CHARD - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,MONSIEUR TOUTON SELECTION,337279,VIA ROVANA FRASCATI,WINE,0.0,0.0,1.0,VIA ROVANA FRASCATI - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,SOUTHERN GLAZERS WINE AND SPIRITS,337291,BAROSSA VLY CAB,WINE,0.0,0.0,1.0,BAROSSA VLY CAB - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,INTERBALT PRODUCTS CORP,337298,ANDEAN P/GRIG,WINE,0.0,0.0,1.0,ANDEAN P/GRIG - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,INTERBALT PRODUCTS CORP,337300,ANDEAN ORG MALB,WINE,0.0,0.0,3.0,ANDEAN ORG MALB - 750ML,750ML,STANDARD,3.0,1,LOW
2020,3,OPICI FAMILY DISTRIBUTING OF MD,337304,DONELLI LAMB GRASPAROSSA,WINE,0.0,0.0,1.0,DONELLI LAMB GRASPAROSSA - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",337320,LE CHARMEL PINOT NOIR,WINE,0.49,0.67,22.0,LE CHARMEL PINOT NOIR - 750ML,750ML,STANDARD,23.16,1,LOW
2020,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",337338,BUJANDA TINTO 14,WINE,0.0,0.0,1.0,BUJANDA TINTO 14 - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",337358,THE ORIGINALS CHARD,WINE,0.0,0.0,1.0,THE ORIGINALS CHARD - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",337374,ANNABELLA CHARD,WINE,0.0,0.0,4.0,ANNABELLA CHARD - 750ML,750ML,STANDARD,4.0,1,LOW
2020,3,LANTERNA DISTRIBUTORS INC,337402,CAMINA VERDEJO,WINE,0.0,0.0,5.0,CAMINA VERDEJO - 750ML,750ML,STANDARD,5.0,1,LOW
2020,3,MONSIEUR TOUTON SELECTION,337420,TERRA VEGA MALB KOSHER,WINE,0.33,0.0,7.0,TERRA VEGA MALB KOSHER - 750ML,750ML,STANDARD,7.33,1,LOW
2020,3,REPUBLIC NATIONAL DISTRIBUTING CO,337426,TWISTED ZIN CAL OV ZIN,WINE,0.0,0.0,1.0,TWISTED ZIN CAL OV ZIN - 1.5L,1.5L,LARGE,1.0,1,LOW
2020,3,CONSTANTINE WINES INC,337451,TRUTH RED,WINE,0.0,0.0,1.0,TRUTH RED - 375ML,375ML,MEDIUM,1.0,1,LOW
2020,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",337481,SHAW & SMITH SHZ,WINE,0.0,0.0,1.0,SHAW & SMITH SHZ - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,"THE COUNTRY VINTNER, LLC DBA WINEBOW",337495,ROOT 1 HERITAGE RED,WINE,0.0,0.0,1.0,ROOT 1 HERITAGE RED - 750ML,750ML,STANDARD,1.0,1,LOW
2020,3,RELIABLE CHURCHILL LLLP,337505,BOL'S CREME DE NOYAUX - TR,LIQUOR,0.17,0.0,0.0,BOL'S CREME DE NOYAUX - 1LTR,1L,LARGE,0.17,1,LOW
